jobid,jobname,start_ts,end_ts,nodes,condition_n,error_code,runtime,init_and_call_runtime,call_runtime,algorithm,fault_tolerance,fault_happened,computing_proc,total_proc,matrix_size,precision,balanced,repetition,req_whole_time,number_of_nodes,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16
891576,SPKFT2_nf2_cp576_tnp578_ms42240_double_lbn_r1_W15_20231130_023622,1701589448,1701589519,48*cresco6x051:48*cresco6x114:48*cresco6x147:48*cresco6x183:48*cresco6x303:48*cresco6x056:48*cresco6x094:48*cresco6x163:48*cresco6x229:48*cresco6x157:48*cresco6x195:48*cresco6x017:48*cresco6x230,1,-99,71,47,32,SPK,2,2,576,578,42240,double,n,1,15,13,48,48,48,48,48,48,48,48,48,48,48,48,48,0,0,0
891577,IMeCOFT4_nf0_cp576_tnp672_ms42240_double_lbn_r1_W15_20231130_023622,1701589543,1701590227,48*cresco6x214:48*cresco6x113:48*cresco6x230:48*cresco6x163:48*cresco6x303:48*cresco6x229:48*cresco6x195:48*cresco6x114:48*cresco6x183:48*cresco6x017:48*cresco6x147:48*cresco6x051:48*cresco6x157:48*cresco6x094,1,0,685,659,652,IMeCO,4,0,576,672,42240,double,n,1,15,14,48,48,48,48,48,48,48,48,48,48,48,48,48,48,0,0
891578,SPKFT4_nf0_cp576_tnp580_ms42240_double_lbn_r1_W15_20231130_023622,1701590250,1701590319,48*cresco6x299:48*cresco6x246:48*cresco6x221:48*cresco6x340:48*cresco6x023:48*cresco6x084:48*cresco6x062:48*cresco6x081:48*cresco6x206:48*cresco6x332:48*cresco6x134:48*cresco6x017:48*cresco6x051,1,0,69,47,32,SPK,4,0,576,580,42240,double,n,1,15,13,48,48,48,48,48,48,48,48,48,48,48,48,48,0,0,0
891579,IMeCOFT4_nf4_cp576_tnp672_ms42240_double_lbn_r1_W15_20231130_023622,1701590345,1701590957,48*cresco6x229:48*cresco6x303:48*cresco6x113:48*cresco6x094:48*cresco6x147:48*cresco6x195:48*cresco6x157:48*cresco6x114:48*cresco6x214:48*cresco6x230:48*cresco6x056:48*cresco6x183:48*cresco6x051:48*cresco6x246,1,0,612,588,581,IMeCO,4,4,576,672,42240,double,n,1,15,14,48,48,48,48,48,48,48,48,48,48,48,48,48,48,0,0
891580,SPKFT4_nf4_cp576_tnp580_ms42240_double_lbn_r1_W15_20231130_023623,1701590976,1701591048,48*cresco6x188:48*cresco6x062:48*cresco6x081:48*cresco6x206:48*cresco6x023:48*cresco6x221:48*cresco6x299:48*cresco6x340:48*cresco6x332:48*cresco6x084:48*cresco6x017:48*cresco6x303:48*cresco6x195,1,-99,72,47,32,SPK,4,4,576,580,42240,double,n,1,15,13,48,48,48,48,48,48,48,48,48,48,48,48,48,0,0,0
891581,IMeCOFT8_nf0_cp576_tnp768_ms42240_double_lbn_r1_W15_20231130_023623,1701591067,1701591669,48*cresco6x157:48*cresco6x051:48*cresco6x229:48*cresco6x214:48*cresco6x183:48*cresco6x113:48*cresco6x147:48*cresco6x094:48*cresco6x114:48*cresco6x056:48*cresco6x230:48*cresco6x246:48*cresco6x195:48*cresco6x332:48*cresco6x221:48*cresco6x084,1,0,602,582,575,IMeCO,8,0,576,768,42240,double,n,1,15,16,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
891582,SPKFT8_nf0_cp576_tnp584_ms42240_double_lbn_r1_W15_20231130_023623,1701591716,1701591788,48*cresco6x018:48*cresco6x062:48*cresco6x081:48*cresco6x206:48*cresco6x218:48*cresco6x044:48*cresco6x225:48*cresco6x202:48*cresco6x301:48*cresco6x303:48*cresco6x321:48*cresco6x023:48*cresco6x188,1,1,72,46,31,SPK,8,0,576,584,42240,double,n,1,15,13,48,48,48,48,48,48,48,48,48,48,48,48,48,0,0,0
891583,IMeCOFT8_nf8_cp576_tnp768_ms42240_double_lbn_r1_W15_20231130_023623,1701591811,1701592480,48*cresco6x113:48*cresco6x147:48*cresco6x114:48*cresco6x157:48*cresco6x230:48*cresco6x084:48*cresco6x246:48*cresco6x221:48*cresco6x094:48*cresco6x051:48*cresco6x056:48*cresco6x214:48*cresco6x195:48*cresco6x229:48*cresco6x049:48*cresco6x134,1,0,669,647,640,IMeCO,8,8,576,768,42240,double,n,1,15,16,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
891584,SPKFT8_nf8_cp576_tnp584_ms42240_double_lbn_r1_W15_20231130_023623,1701592504,1701592573,48*cresco6x206:48*cresco6x225:48*cresco6x074:48*cresco6x018:48*cresco6x303:48*cresco6x188:48*cresco6x218:48*cresco6x321:48*cresco6x310:48*cresco6x202:48*cresco6x301:48*cresco6x023:48*cresco6x062,1,-99,69,46,31,SPK,8,8,576,584,42240,double,n,1,15,13,48,48,48,48,48,48,48,48,48,48,48,48,48,0,0,0
891585,IMeCOFT0_cp576_tnp576_ms42240_single_lby_r1_W15_20231130_023623,1701592599,1701592919,48*cresco6x332:48*cresco6x340:48*cresco6x056:48*cresco6x094:48*cresco6x229:48*cresco6x157:48*cresco6x230:48*cresco6x084:48*cresco6x221:48*cresco6x246:48*cresco6x134:48*cresco6x049,1,0,320,303,300,IMeCO,0,0,576,576,42240,single,y,1,15,12,48,48,48,48,48,48,48,48,48,48,48,48,0,0,0,0
891586,SPKFT0_cp576_tnp576_ms42240_single_lby_r1_W15_20231130_023623,1701592944,1701592991,48*cresco6x044:48*cresco6x202:48*cresco6x225:48*cresco6x074:48*cresco6x018:48*cresco6x147:48*cresco6x062:48*cresco6x301:48*cresco6x188:48*cresco6x218:48*cresco6x303:48*cresco6x023,1,0,47,27,18,SPK,0,0,576,576,42240,single,y,1,15,12,48,48,48,48,48,48,48,48,48,48,48,48,0,0,0,0
891587,IMeCOFT1_nf0_cp576_tnp600_ms42240_single_lby_r1_W15_20231130_023623,1701593009,1701593307,48*cresco6x299:48*cresco6x321:48*cresco6x206:48*cresco6x081:48*cresco6x114:48*cresco6x332:48*cresco6x134:48*cresco6x051:48*cresco6x113:48*cresco6x230:48*cresco6x056:48*cresco6x157:48*cresco6x049,1,0,298,282,279,IMeCO,1,0,576,600,42240,single,y,1,15,13,48,48,48,48,48,48,48,48,48,48,48,48,48,0,0,0
891588,SPKFT1_nf0_cp576_tnp577_ms42240_single_lby_r1_W15_20231130_023624,1701593330,1701593376,48*cresco6x225:48*cresco6x074:48*cresco6x246:48*cresco6x218:48*cresco6x023:48*cresco6x147:48*cresco6x094:48*cresco6x303:48*cresco6x340:48*cresco6x221:48*cresco6x017:48*cresco6x044:48*cresco6x214,1,0,46,26,18,SPK,1,0,576,577,42240,single,y,1,15,13,48,48,48,48,48,48,48,48,48,48,48,48,48,0,0,0
