jobid,energy_from_delta_e,energy_from_subtraction,mean_sys_power,max_sys_power,energy_equal,error_code,runtime,matrix_size,precision,balanced,rank_assignment,number_of_nodes,total_proc,algorithm,mean_sys_power_from_delta_e
879962,0.039010,0.039010,740.631579,860,True,0.000000,184.000000,21120.000000,single,n,f,3.000000,100.000000,IMeCO,763.239130
879963,0.003980,0.003980,523.928571,800,True,0.000000,21.000000,21120.000000,single,n,f,3.000000,100.000000,SPK,682.285714
879964,0.038510,0.038510,754.324324,880,True,0.000000,178.000000,21120.000000,single,n,f,3.000000,110.000000,IMeCO,778.853933
879965,0.004230,0.004230,587.407407,810,True,0.000000,21.000000,21120.000000,single,n,f,3.000000,101.000000,SPK,725.142857
879966,0.038640,0.038640,754.702703,880,True,0.000000,178.000000,21120.000000,single,n,f,3.000000,110.000000,IMeCO,781.483146
879967,0.004390,0.004390,587.857143,820,True,-99.000000,21.000000,21120.000000,single,n,f,3.000000,101.000000,SPK,752.571429
879968,0.040950,0.040950,793.763441,930,True,0.000000,180.000000,21120.000000,single,n,f,3.000000,120.000000,IMeCO,819.000000
879969,0.004320,0.004320,550.000000,810,True,0.000000,23.000000,21120.000000,single,n,f,3.000000,102.000000,SPK,676.173913
879970,0.040460,0.040460,789.891304,930,True,0.000000,177.000000,21120.000000,single,n,f,3.000000,120.000000,IMeCO,822.915254
879971,0.004210,0.004210,584.814815,820,True,-99.000000,21.000000,21120.000000,single,n,f,3.000000,102.000000,SPK,721.714286
879972,0.045210,0.045210,878.324324,1040,True,0.000000,179.000000,21120.000000,single,n,f,3.000000,140.000000,IMeCO,909.251397
879973,0.004130,0.004130,589.230769,840,True,0.000000,20.000000,21120.000000,single,n,f,3.000000,104.000000,SPK,743.400000
879974,0.044270,0.044270,861.344086,1010,True,0.000000,180.000000,21120.000000,single,n,f,3.000000,140.000000,IMeCO,885.400000
879975,0.004430,0.004430,573.448276,830,True,-99.000000,23.000000,21120.000000,single,n,f,3.000000,104.000000,SPK,693.391304
879976,0.060950,0.060950,1160.526316,1350,True,0.000000,184.000000,21120.000000,single,n,f,4.000000,180.000000,IMeCO,1192.500000
879977,0.003920,0.003920,569.230769,840,True,0.000000,20.000000,21120.000000,single,n,f,3.000000,108.000000,SPK,705.600000
