jobid	nodename	tempo	timestamp_measure	sys_power	cpu_power	mem_power	sys_util	cpu_util	mem_util	io_util	amb_temp	cpu1_temp	cpu2_temp	exh_temp	sysairflow	fan1a	fan1b	fan2a	fan2b	fan3a	fan3b	fan4a	fan4b	fan5a	fan5b	dcenergy	note	delta_e
879962	cresco6x114	Tue 21 Nov 22:30:12 CET 2023	1700602212	140.00	90.00	12.00	72.00	56.00	17.00	0.00	19.00	60.00	60.00	28.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.43085		0.00003
879962	cresco6x186	Tue 21 Nov 22:30:12 CET 2023	1700602212	130.00	100.00	10.00	99.00	94.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8448.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15392		0.00003
879962	cresco6x184	Tue 21 Nov 22:30:12 CET 2023	1700602212	130.00	90.00	10.00	8.00	0.00	0.00	0.00	18.00	37.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33758		0.00003
879962	cresco6x184	Tue 21 Nov 22:30:11 CET 2023	1700602211	130.00	90.00	10.00	8.00	7.00	0.00	0.00	18.00	37.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33755		0.00004
879962	cresco6x114	Tue 21 Nov 22:30:11 CET 2023	1700602211	130.00	100.00	10.00	72.00	56.00	17.00	0.00	19.00	60.00	60.00	28.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.43082		0.00004
879962	cresco6x186	Tue 21 Nov 22:30:11 CET 2023	1700602211	130.00	100.00	10.00	99.00	94.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8448.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15389		0.00000
879962	cresco6x114	Tue 21 Nov 22:30:10 CET 2023	1700602210	130.00	100.00	10.00	72.00	56.00	17.00	0.00	19.00	60.00	60.00	28.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.43078		0.00004
879962	cresco6x186	Tue 21 Nov 22:30:10 CET 2023	1700602210	130.00	100.00	10.00	99.00	94.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8448.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15389		0.00008
879962	cresco6x184	Tue 21 Nov 22:30:10 CET 2023	1700602210	130.00	90.00	10.00	8.00	7.00	0.00	0.00	18.00	37.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33751		0.00003
879962	cresco6x114	Tue 21 Nov 22:30:09 CET 2023	1700602209	120.00	90.00	10.00	72.00	97.00	17.00	0.00	19.00	60.00	60.00	41.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.43074		0.00003
879962	cresco6x184	Tue 21 Nov 22:30:09 CET 2023	1700602209	120.00	90.00	10.00	8.00	7.00	0.00	0.00	18.00	38.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33748		0.00004
879962	cresco6x186	Tue 21 Nov 22:30:09 CET 2023	1700602209	130.00	100.00	10.00	99.00	94.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8448.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15381		0.00000
879962	cresco6x186	Tue 21 Nov 22:30:08 CET 2023	1700602208	130.00	100.00	10.00	99.00	94.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8448.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15381		0.00004
879962	cresco6x184	Tue 21 Nov 22:30:08 CET 2023	1700602208	120.00	90.00	10.00	8.00	7.00	0.00	0.00	18.00	38.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33744		0.00003
879962	cresco6x114	Tue 21 Nov 22:30:08 CET 2023	1700602208	110.00	70.00	10.00	72.00	97.00	17.00	0.00	19.00	70.00	60.00	41.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.43071		0.00003
