jobid	nodename	tempo	timestamp_measure	sys_power	cpu_power	mem_power	sys_util	cpu_util	mem_util	io_util	amb_temp	cpu1_temp	cpu2_temp	exh_temp	sysairflow	fan1a	fan1b	fan2a	fan2b	fan3a	fan3b	fan4a	fan4b	fan5a	fan5b	dcenergy	note	delta_e
901148	cresco6x090	Wed  6 Dec 14:58:57 CET 2023	1701871137	110.00	80.00	10.00	25.00	44.00	0.00	0.00	19.00	48.00	47.00	29.00	23.00	6144.00000	6272.00000	8448.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6272.00000	6272.00000	55.73238		0.00003
901148	cresco6x244	Wed  6 Dec 14:58:56 CET 2023	1701871136	80.00	50.00	8.00	0.00	14.00	0.00	0.00	17.00	45.00	35.00	32.00	20.00	6272.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6272.00000	6272.00000	206.50274		0.00002
901148	cresco6x090	Wed  6 Dec 14:58:55 CET 2023	1701871135	130.00	100.00	10.00	25.00	0.00	0.00	0.00	19.00	48.00	47.00	29.00	23.00	6144.00000	6272.00000	8448.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6272.00000	6272.00000	55.73235		0.00003
901148	cresco6x244	Wed  6 Dec 14:58:55 CET 2023	1701871135	80.00	50.00	7.00	0.00	14.00	0.00	0.00	17.00	45.00	35.00	32.00	20.00	6272.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6272.00000	6272.00000	206.50272		0.00002
901148	cresco6x090	Wed  6 Dec 14:58:54 CET 2023	1701871134	130.00	100.00	10.00	25.00	0.00	0.00	0.00	19.00	48.00	47.00	29.00	23.00	6144.00000	6272.00000	8448.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6272.00000	6272.00000	55.73232		0.00008
901148	cresco6x244	Wed  6 Dec 14:58:50 CET 2023	1701871130	170.00	140.00	12.00	0.00	0.00	0.00	0.00	17.00	45.00	35.00	32.00	20.00	6272.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6272.00000	6272.00000	206.50263		0.00008
901148	cresco6x090	Wed  6 Dec 14:58:51 CET 2023	1701871131	200.00	100.00	13.00	25.00	0.00	0.00	0.00	19.00	47.00	45.00	29.00	23.00	6144.00000	6272.00000	8448.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6272.00000	6272.00000	55.73221		0.00004
901148	cresco6x244	Wed  6 Dec 14:58:52 CET 2023	1701871132	90.00	60.00	10.00	0.00	0.00	0.00	0.00	17.00	45.00	35.00	32.00	20.00	6272.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6272.00000	6272.00000	206.50266		0.00003
901148	cresco6x090	Wed  6 Dec 14:58:53 CET 2023	1701871133	130.00	100.00	10.00	25.00	0.00	0.00	0.00	19.00	47.00	47.00	29.00	23.00	6144.00000	6272.00000	8448.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6272.00000	6272.00000	55.73224		0.00003
901148	cresco6x244	Wed  6 Dec 14:58:53 CET 2023	1701871133	80.00	50.00	7.00	0.00	14.00	0.00	0.00	17.00	45.00	35.00	32.00	20.00	6272.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6272.00000	6272.00000	206.50270		0.00004
