JOBID,JOB NAME
924583,IMeCOFT4_nf4_cp400_tnp480_ms36960_double_lby_r1_W10_20231216_203219
924509,IMeCOFT4_nf0_cp400_tnp480_ms42240_double_lby_r1_W15_20231216_203105
924495,IMeCOFT8_nf8_cp400_tnp560_ms42240_double_lby_r1_W15_20231216_203103
924141,SPKFT8_nf0_cp484_tnp492_ms15840_double_lby_r1_W3_20231216_091823
921982,SPKFT8_nf0_cp100_tnp108_ms21120_single_lby_r1_W20_20231214_172656
920081,SPKFT8_nf8_cp256_tnp264_ms21120_single_lby_r1_W7_20231213_103249
927456,SPKFT2_nf0_cp400_tnp402_ms26400_single_lby_r1_W7_20231219_052310
925474,SPKFT0_cp400_tnp400_ms31680_single_lby_r1_W8_20231217_205558
921945,IMeCOFT1_nf1_cp100_tnp110_ms21120_double_lbn_r1_W20_20231214_152559
921943,IMeCOFT1_nf0_cp100_tnp110_ms21120_double_lbn_r1_W20_20231214_152559
924519,IMeCOFT2_nf2_cp400_tnp440_ms42240_double_lbn_r1_W15_20231216_203106
925453,IMeCOFT1_nf0_cp400_tnp420_ms31680_single_lbn_r1_W8_20231217_205555
907007,SPKFT4_nf0_cp144_tnp148_ms15840_double_lbn_r1_W8_20231211_112239
922185,SPKFT4_nf4_cp484_tnp488_ms26400_double_lbn_r1_W7_20231214_213957
909614,SPKFT4_nf4_cp484_tnp488_ms36960_double_lbn_r1_W10_20231212_033331
901735,SPKFT2_nf0_cp576_tnp578_ms10560_single_lbn_r1_W3_20231206_220607
929723,SPKFT8_nf8_cp256_tnp264_ms21120_single_lby_r1_W20_20231220_154340
921944,SPKFT1_nf0_cp100_tnp101_ms21120_double_lbn_r1_W20_20231214_152559
921981,IMeCOFT8_nf0_cp100_tnp180_ms21120_single_lby_r1_W20_20231214_172656
901246,IMeCOFT2_nf0_cp64_tnp80_ms5280_double_lby_r1_W5_20231206_155543
924128,IMeCOFT8_nf0_cp484_tnp660_ms15840_single_lbn_r1_W3_20231216_091821
928990,SPKFT1_nf1_cp400_tnp401_ms5280_double_lbn_r1_W3_20231219_214745
