ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCOft    single     8   0   484     176     660     21120   14     2   2   -       -    N     -       1   7    IMeCOFT8_nf0_cp484_tnp660_ms21120_single_lbn_r1_W7_20231216_080305                                  
SPKft      single     8   0   484     8       492     21120   11     2   2   10560   24   N     -       1   7    SPKFT8_nf0_cp484_tnp492_ms21120_single_lbn_r1_W7_20231216_080305                                    
IMeCOft    single     8   8   484     176     660     21120   14     2   2   -       -    N     -       1   7    IMeCOFT8_nf8_cp484_tnp660_ms21120_single_lbn_r1_W7_20231216_080305                                  
SPKft      single     8   8   484     8       492     21120   11     2   2   10560   24   N     -       1   7    SPKFT8_nf8_cp484_tnp492_ms21120_single_lbn_r1_W7_20231216_080305                                    
IMeCOft    double     8   0   484     176     660     21120   14     2   2   -       -    N     -       1   7    IMeCOFT8_nf0_cp484_tnp660_ms21120_double_lbn_r1_W7_20231216_080306                                  
SPKft      double     8   0   484     8       492     21120   11     2   2   10560   24   N     -       1   7    SPKFT8_nf0_cp484_tnp492_ms21120_double_lbn_r1_W7_20231216_080306                                    
IMeCOft    double     8   8   484     176     660     21120   14     2   2   -       -    N     -       1   7    IMeCOFT8_nf8_cp484_tnp660_ms21120_double_lbn_r1_W7_20231216_080306                                  
SPKft      double     8   8   484     8       492     21120   11     2   2   10560   24   N     -       1   7    SPKFT8_nf8_cp484_tnp492_ms21120_double_lbn_r1_W7_20231216_080306                                    
IMeCOft    single     8   0   484     176     660     21120   14     2   2   -       -    Y     24      1   7    IMeCOFT8_nf0_cp484_tnp660_ms21120_single_lby_r1_W7_20231216_080306                                  
SPKft      single     8   0   484     8       492     21120   11     2   2   10560   24   Y     23      1   7    SPKFT8_nf0_cp484_tnp492_ms21120_single_lby_r1_W7_20231216_080306                                    
IMeCOft    single     8   8   484     176     660     21120   14     2   2   -       -    Y     24      1   7    IMeCOFT8_nf8_cp484_tnp660_ms21120_single_lby_r1_W7_20231216_080306                                  
SPKft      single     8   8   484     8       492     21120   11     2   2   10560   24   Y     23      1   7    SPKFT8_nf8_cp484_tnp492_ms21120_single_lby_r1_W7_20231216_080306                                    
IMeCOft    double     8   0   484     176     660     21120   14     2   2   -       -    Y     24      1   7    IMeCOFT8_nf0_cp484_tnp660_ms21120_double_lby_r1_W7_20231216_080307                                  
SPKft      double     8   0   484     8       492     21120   11     2   2   10560   24   Y     23      1   7    SPKFT8_nf0_cp484_tnp492_ms21120_double_lby_r1_W7_20231216_080307                                    
